Symbol,Date,Open,High,Low,Close,Volume
AACG,08-Nov-2022,1.86,1.88,1.82,1.87,12400
AACIW,08-Nov-2022,0.05,0.0517,0.05,0.0517,4800
AADI,08-Nov-2022,12.99,13.46,12.94,13.04,97400
AADR,08-Nov-2022,48.6519,48.86,48.14,48.4928,10900
AAL,08-Nov-2022,14.29,14.45,14.08,14.25,25415700
AAME,08-Nov-2022,3.13,3.13,2.88,2.88,800
AAOI,08-Nov-2022,2.18,2.22,2.12,2.15,156600
AAON,08-Nov-2022,72.14,80.485,71.6,74.75,692800
AAPB,08-Nov-2022,17.9,18.35,17.67,17.9376,3000
AAPD,08-Nov-2022,28.54,29.09,28.3027,28.697,130600
AAPL,08-Nov-2022,140.41,141.43,137.49,139.5,89908400
AAPU,08-Nov-2022,19.15,19.3455,18.581,18.98,100100
AATC,08-Nov-2022,4.33,4.4,4.25,4.25,10600
AAWW,08-Nov-2022,100.49,100.67,100,100.1,364400
AAXJ,08-Nov-2022,59.69,60.33,59.53,60.07,661300
ABCB,08-Nov-2022,52.21,52.5,51.55,51.78,350000
ABCL,08-Nov-2022,12,12.55,11.82,12.24,2499700
ABCM,08-Nov-2022,14.49,15.28,14.44,15.03,264500
ABEO,08-Nov-2022,3.84,4.24,3.62,3.81,1225000
ABGI,08-Nov-2022,9.97,9.97,9.97,9.97,300
ABIO,08-Nov-2022,2.07,2.071,2.05,2.06,12100
ABMD,08-Nov-2022,373.6,374.45,373.26,374,1692100
ABNB,08-Nov-2022,95.53,101.9193,94.27,98.9,7829300
ABOS,08-Nov-2022,6.48,7,6.42,6.71,107500
ABSI,08-Nov-2022,3.04,3.21,3,3.07,151100
ABST,08-Nov-2022,10.15,10.91,10.13,10.45,196400
ABUS,08-Nov-2022,2.42,2.515,2.38,2.46,776900
ABVC,08-Nov-2022,0.75,0.75,0.7331,0.7452,2800
ACAB,08-Nov-2022,10.07,10.07,10.07,10.07,13000
ACAD,08-Nov-2022,14.6,15.445,14.45,15.3,1576000
ACAH,08-Nov-2022,9.94,9.94,9.94,9.94,1600
ACAHW,08-Nov-2022,0.06,0.06,0.06,0.06,4500
ACAXW,08-Nov-2022,0.04,0.04,0.04,0.04,100
ACB,08-Nov-2022,1.35,1.37,1.26,1.3,10457600
ACBA,08-Nov-2022,10.52,10.525,10.52,10.52,20100
ACCD,08-Nov-2022,9.16,9.235,8.85,9.07,495900
