Symbol,Date,Open,High,Low,Close,Volume
A,08-Nov-2022,138.5,140.685,136.6,138.75,1028100
AA,08-Nov-2022,42.18,43.385,41.46,43.23,4740100
AAC,08-Nov-2022,9.98,10,9.98,10,59300
AAC.U,08-Nov-2022,10,10,9.99,9.99,70200
AAC.W,08-Nov-2022,0.0483,0.0483,0.041,0.0455,1600
AAI-B,08-Nov-2022,17.25,17.25,17.1,17.1,500
AAIC,08-Nov-2022,3.05,3.12,3,3.105,128700
AAIN,08-Nov-2022,23.4,23.4,23.4,23.4,100
AAM-A,08-Nov-2022,21.55,22.35,21.55,22.34,35100
AAM-B,08-Nov-2022,21.61,22.36,21.3533,22.31,18000
AAN,08-Nov-2022,9.98,10.13,9.73,10.12,432200
AAP,08-Nov-2022,184.26,184.73,180.09,182.64,571300
AAQ.W,08-Nov-2022,0.03,0.0327,0.027,0.03,1700
AAQC,08-Nov-2022,9.94,9.94,9.92,9.94,129000
AAT,08-Nov-2022,28.05,28.15,27.42,27.7,248000
AB,08-Nov-2022,36.42,37.1808,36.23,36.77,252600
ABB,08-Nov-2022,28.96,29.285,28.845,29.07,998400
ABBV,08-Nov-2022,148.83,151.63,147.96,148.53,4637500
ABC,08-Nov-2022,154.91,160.145,154.91,159.66,8144800
ABEV,08-Nov-2022,3.14,3.22,3.13,3.2,32263600
ABG,08-Nov-2022,161.85,165.51,159.9,165.03,159300
ABM,08-Nov-2022,43.5,44.355,43.15,43.74,179600
ABR,08-Nov-2022,14.49,14.72,14.185,14.31,2939900
ABR-D,08-Nov-2022,17.8,18.55,17.8,18.32,8600
ABR-E,08-Nov-2022,17.4,18.1799,17.4,18,6700
ABR-F,08-Nov-2022,19.12,19.12,18.9,18.9,16600
ABT,08-Nov-2022,99.9,100.26,98.95,99.64,5708200
AC,08-Nov-2022,40.25,40.48,39.71,40.47,7400
ACA,08-Nov-2022,57.77,58.88,54.45,56.43,425700
ACAQ,08-Nov-2022,10.12,10.13,10.12,10.13,10300
ACCO,08-Nov-2022,5,5.54,4.96,5.41,1432800
ACD.U,08-Nov-2022,10.21,10.21,10.21,10.21,100
ACEL,08-Nov-2022,9.68,9.71,9.24,9.38,204600
ACH.W,08-Nov-2022,0.4301,0.4699,0.4301,0.4699,10300
ACHR,08-Nov-2022,2.68,2.75,2.59,2.72,704200
ACI,08-Nov-2022,20.75,20.85,20.345,20.59,4951700
ACI.S,08-Nov-2022,10,10,10,10,1400
ACII,08-Nov-2022,10,10.04,10,10.01,182600
ACM,08-Nov-2022,76.38,77.565,75.96,76.73,538700
ACN,08-Nov-2022,271.09,274.9,266.115,269.03,2444000
ACP,08-Nov-2022,6.56,6.59,6.44,6.47,160500
ACP-A,08-Nov-2022,21.88,21.88,21.23,21.42,1700
ACR,08-Nov-2022,9.91,9.91,9.64,9.83,15700
ACR-C,08-Nov-2022,21.15,21.9279,21.15,21.52,8000
ACR-D,08-Nov-2022,18.8,19,18.8,18.91,5900
ACR.W,08-Nov-2022,0.1,0.1001,0.0966,0.1,32100
ACRE,08-Nov-2022,12.04,12.135,11.695,11.86,551700
